id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source
295,dish,melinjo emping tebal goreng asin,431.0,11.1,16.2,63.0,tkpi
296,dish,melinjo emping tipis goreng,485.0,11.5,24.5,59.1,tkpi
297,dish,mi golosor,71.0,0.2,0.8,15.9,tkpi
298,dish,mi kering,339.0,10.0,1.7,6.3,tkpi
299,dish,misoa,345.0,8.5,2.2,78.0,tkpi
300,dish,mujahir acar kuning masakan,330.0,17.8,23.4,12.1,tkpi
301,komponen,nanas segar,40.0,0.6,0.3,9.9,tkpi
302,dish,nasi,180.0,3.0,0.3,39.8,tkpi
303,dish,nasi beras merah,149.0,2.8,0.4,32.5,tkpi
304,dish,nopia spesial,387.0,5.3,7.6,74.3,tkpi
305,komponen,oncom ampas kacang hijau,376.0,14.9,6.0,65.7,tkpi
306,dish,oncom kacang hijau singkong,351.0,11.0,5.3,65.9,tkpi
307,dish,oncom kacang tanah pepes,132.0,12.7,3.8,13.7,tkpi
308,dish,ongolongol sagu,111.0,0.3,2.7,21.2,tkpi
309,dish,pempek belida,156.0,4.2,1.4,31.6,tkpi
310,dish,pempek kelesan,211.0,12.3,6.1,26.6,tkpi
311,dish,pempek tenggiri,173.0,7.2,1.2,33.4,tkpi
312,dish,pencok lele masakan,372.0,7.8,36.3,3.5,tkpi
313,komponen,pepes oncom ampas tahu,76.0,5.2,1.8,10.6,tkpi
314,komponen,petis udang kering,345.0,23.8,1.4,59.3,tkpi
315,komponen,pisang hijau segar,117.0,2.0,0.3,28.9,tkpi
316,komponen,pisang kidang segar,96.0,1.0,0.2,22.5,tkpi
317,komponen,pisang raja sereh segar,108.0,1.3,0.3,28.2,tkpi
318,komponen,pisang rotan segar,98.0,1.3,1.2,20.5,tkpi
319,komponen,pisang uli segar,134.0,1.1,0.5,35.5,tkpi
320,komponen,purut segar,76.0,4.1,1.1,15.2,tkpi
321,dish,rempeyek kacang tanah,513.0,17.5,32.5,44.3,tkpi
322,dish,rempeyek kacang tolo,451.0,11.2,20.2,59.7,tkpi
323,dish,rempeyek kacang uci,497.0,17.0,27.6,50.8,tkpi
324,komponen,rusip,110.0,11.5,2.0,11.7,tkpi
325,komponen,saga merah terkupas mentah,449.0,30.6,25.5,31.9,tkpi
326,komponen,sagu aren kering,355.0,0.6,1.1,85.6,tkpi
327,komponen,salak bali segar,57.0,0.5,0.1,13.6,tkpi
328,komponen,salak pondoh segar,87.0,0.8,0.4,20.1,tkpi
329,dish,sale pisang siam,281.0,2.4,0.7,66.1,tkpi
