id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source,protein_per_calorie,fat_per_calorie,carb_per_calorie,protein_fat_ratio,macro_balance_score
100,dish,sate penyu masakan,179.0,22.5,3.5,13.3,tkpi,0.1256983233201211,0.019553072516463283,0.07430167556256048,6.42856959183726,0.8025952514803354
101,komponen,sawi putih pecai segar,9.0,1.0,0.1,1.7,tkpi,0.11111109876543349,0.01111110987654335,0.1888888679012369,9.99990000099999,0.7661085392334702
102,dish,sayur asem,29.0,0.7,0.6,5.0,tkpi,0.024137930202140334,0.02068965445897743,0.17241378715814526,1.166664722225463,0.6744419034303669
103,dish,sayur sop,27.0,1.3,2.0,1.0,tkpi,0.048148146364883466,0.07407407133058995,0.037037035665294975,0.6499996750001624,0.9025596504652982
104,komponen,selada air segar,17.0,3.1,0.2,2.2,tkpi,0.18235293044982762,0.01176470519031146,0.12941175709342606,15.499922500387498,0.7796404974218443
105,dish,selada rebus,19.0,2.7,0.2,2.9,tkpi,0.14210525567867074,0.010526315235457093,0.15263157091412782,13.499932500337499,0.7882123474403646
106,dish,soto bandung masakan,42.0,3.9,1.7,2.8,tkpi,0.09285714064625857,0.04047618951247168,0.06666666507936511,2.2941162975786487,0.8930778286880359
107,dish,soto betawi masakan,135.0,2.5,8.8,11.5,tkpi,0.018518518381344308,0.06518518470233198,0.08518518455418382,0.2840908768078549,0.8346078277634666
108,dish,soto kudus masakan,38.0,2.6,2.3,1.8,tkpi,0.06842105083102498,0.060526314196675944,0.04736841980609422,1.1304342911155256,0.9507487814098922
109,komponen,soto madura masakan,60.0,3.5,4.5,1.3,tkpi,0.05833333236111113,0.07499999875000002,0.021666666305555565,0.7777776049383099,0.856272848345782
110,dish,soto padang masakan,127.0,5.9,6.6,11.0,tkpi,0.0464566925475851,0.051968503527807054,0.0866141725463451,0.8939392584940519,0.9039432456548254
111,dish,soto pekalongan masakan,94.0,3.0,6.8,5.1,tkpi,0.03191489327750113,0.0723404247623359,0.05425531857175193,0.4411764057093521,0.895690888350114
112,dish,soto pemalang masakan,75.0,3.6,5.2,3.5,tkpi,0.04799999936000001,0.0693333324088889,0.04666666604444446,0.6923075591716232,0.9366757645227755
113,dish,soto sukaraja masakan,80.0,3.2,3.5,9.0,tkpi,0.03999999950000001,0.04374999945312501,0.11249999859375003,0.9142854530612992,0.830175161309374
114,dish,soto sulung masakan,86.0,2.3,8.5,0.0,tkpi,0.02674418573553272,0.09883720815305572,0.0,0.27058820346021134,0.6676110772359838
115,dish,taoge goreng,88.0,3.2,2.1,14.0,tkpi,0.03636363595041323,0.023863636092458684,0.1590909072830579,1.5238087981862865,0.7218003090841238
116,dish,taoge seduh,28.0,3.0,0.8,4.0,tkpi,0.10714285331632667,0.028571427551020444,0.14285713775510223,3.749995312505859,0.8286330114892015
117,komponen,taoge segar,34.0,3.7,1.2,4.3,tkpi,0.10882352621107277,0.03529411660899657,0.12647058451557106,3.0833307638910306,0.854079488655056
118,komponen,telur ayam ras segar,154.0,12.4,10.8,0.7,tkpi,0.08051947999662676,0.07012986967448137,0.004545454515938607,1.1481480418381442,0.7832777791391854
119,dish,telur ayam dadar masakan,251.0,16.3,19.4,1.4,tkpi,0.06494023878509865,0.07729083634545483,0.005577689220806019,0.8402061422574154,0.7882156956602062
120,dish,telur bebek dadar masakan,301.0,20.0,23.7,0.0,tkpi,0.06644518250350438,0.07873754126665268,0.0,0.8438818209332565,0.7617767027531096
121,komponen,terung belanda segar,52.0,2.1,1.1,8.6,tkpi,0.04038461460798819,0.02115384574704143,0.16538461220414208,1.9090891735552968,0.7182212239652542
122,komponen,terung bengkulu segar,52.0,1.1,0.4,11.2,tkpi,0.02115384574704143,0.007692307544378702,0.21538461124260364,2.7499931250171876,0.6114598952000744
123,komponen,terung panjang,25.0,2.1,0.1,5.3,tkpi,0.08399999664000013,0.003999999840000007,0.21199999152000032,20.999790002099978,0.7144466061473953
124,dish,terung panjang kukus,23.0,1.8,0.1,4.9,tkpi,0.07826086616257104,0.004347825897920613,0.21304346899811005,17.999820001799982,0.707767479200218
